Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
34,Female,Spend,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, but it's vague",Very confident,Investing regularly
48,Female,Other,Sometimes,Never,Spend it,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
41,Male,Spend,Sometimes,Never,Invest it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
64,Female,Save,Sometimes,Rarely,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
54,Male,Other,"Yes, daily",Frequently,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
53,Male,Pay bills,Sometimes,Never,Spend it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
59,Male,Save,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
53,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Other,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
19,Male,Save,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
52,Female,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
44,Male,Spend,"Yes, monthly",Rarely,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
27,Female,Save,"No, I don't track it",Never,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
47,Male,Spend,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
29,Female,Spend,"No, I don't track it",Always,Spend it,"No, i don't have a budget",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
26,Male,Pay bills,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Other
43,Male,Other,"No, I don't track it",Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
25,Male,Save,"Yes, monthly",Never,Invest it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
61,Female,Pay bills,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
43,Female,Save,"No, I don't track it",Frequently,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
24,Male,Save,"Yes, monthly",Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Spending less
64,Female,Save,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
62,Male,Other,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
30,Male,Pay bills,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
60,Male,Save,"Yes, monthly",Frequently,Spend it,"Yes, I follow it strictly",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
38,Female,Save,"No, I don't track it",Rarely,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Other
53,Male,Pay bills,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
58,Female,Save,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
42,Female,Spend,"No, I don't track it",Never,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Spending less
19,Female,Pay bills,"Yes, monthly",Frequently,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
30,Other,Save,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
63,Other,Pay bills,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
62,Female,Spend,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
42,Other,Save,"Yes, daily",Never,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
28,Female,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
44,Male,Pay bills,"Yes, daily",Rarely,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
22,Female,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
38,Male,Other,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
42,Male,Other,"No, I don't track it",Frequently,Invest it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
45,Male,Save,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Buying a home,Not comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
31,Female,Pay bills,Sometimes,Rarely,Save it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
40,Female,Pay bills,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
30,Male,Spend,"No, I don't track it",Frequently,Spend it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
36,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
36,Female,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
49,Male,Save,Sometimes,Always,Spend it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
61,Male,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
37,Female,Spend,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Retiring early,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
34,Male,Pay bills,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
48,Female,Save,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
26,Female,Save,"Yes, daily",Always,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
63,Male,Save,Sometimes,Rarely,Invest it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
48,Female,Pay bills,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Other
27,Female,Other,"Yes, daily",Never,Save it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
32,Female,Spend,"Yes, daily",Always,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
63,Male,Pay bills,"Yes, daily",Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Other
39,Male,Save,"No, I don't track it",Never,Invest it,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
30,Male,Spend,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
37,Female,Spend,"Yes, daily",Always,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
50,Male,Save,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
43,Female,Other,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
57,Male,Save,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, I have a detailed plan",Very confident,Paying off debt
31,Male,Save,Sometimes,Rarely,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
36,Female,Pay bills,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
24,Female,Spend,"Yes, monthly",Rarely,Save it,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
45,Male,Save,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
45,Male,Pay bills,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
59,Female,Save,Sometimes,Frequently,Save it,"No, i don't have a budget",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
47,Other,Spend,"No, I don't track it",Rarely,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
39,Female,Other,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Other,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
51,Male,Save,"Yes, monthly",Always,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
29,Male,Save,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
24,Female,Spend,Sometimes,Never,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
20,Male,Spend,"Yes, monthly",Never,Save it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
35,Male,Spend,Sometimes,Rarely,Spend it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
23,Male,Save,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
45,Male,Spend,Sometimes,Never,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
18,Female,Spend,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
